,Aburina sp.1,Allobaccha sp.1,Andronymus magma,Andronymus sp.1,Anomis sp.2,Apallaga alluaudi,Apallaga meditrina,Apallaga mona,Apis mellifera,Bebearia tentyris,Bicyclus sciathis,Big black scoliid,Black apoidea,Black apoidea with orange band,Black fancy nematocera,Black spotted apoidea,Blue amegilla,Brown amegilla,Brown-striped fly,Brown-white acalyptratae,Callopistria sp.1,Calpinae sp.3,Calpinae sp.4,Centroctena rutherfordi,Ceratrichia clara,Crambidae sp.1,Crambidae sp.10,Crambidae sp.11,Crambidae sp.3,Crambidae sp.7,Crambidae sp.9,Cyanomitra olivacea,Cymothoe consanguis,Cymothoe herminia,Cymothoe indamora,Cymothoe sangaris,Desmobathrinae sp.1,Ennominae sp.4,Ercheia subsignata,Erebidae sp.15,Erebidae sp.16,Erebidae sp.17,Erebidae sp.18,Erebidae sp.19,Erebidae sp.20,Erebidae sp.21,Erebinae sp.3,Erebinae sp.5,Euphaedra hewitsoni,Euphaedra losinga,Euphaedra sp.1,Euphaedra temerraria,Eupithecia sp.2,Geometrinae sp.7,Geometrinae sp.8,Geometrinae sp.9,Graphium policenes,Halictidae with orange band,Heliophisma sp.1,Herminiinae sp.10,Herminiinae sp.11,Herminiinae sp.12,Herminiinae sp.13,Herminiinae sp.14,Herminiinae sp.15,Herminiinae sp.16,Herminiinae sp.2,Herminiinae sp.9,Hymenia sp.1,Hypeninae sp.3,Hypeninae sp.4,Hypeninae sp.6,Hypeninae sp.9,Larentiinae sp.2,Larentiinae sp.3,Leptosia alcesta,Leptosia nupta,Macroglossinae sp.4,Melanostoma sp.1,Mocis sp.1,Nephele sp.2,Nepheronia argia,Noctuidae sp.10,Noctuidae sp.11,Noctuidae sp.12,Noctuidae sp.13,Noctuidae sp.14,Noctuidae sp.15,Noctuidae sp.8,Noctuidae sp.9,Ogovia sp.1,Orange abdomen apoidea,Orange thorax amegilla,Osmodes lux,Papilio cyproeofila,Papilio dardanus,Papilio hesperus,Papilio menestheus,Papilio zenobia,Paronymus xanthias,Plecoptera sp.2,Precis milonia,Pterophoridae sp.6,Pyraloidea sp.10,Pyraloidea sp.11,Pyraloidea sp.12,Pyraloidea sp.2,Pyraloidea sp.4,Pyraloidea sp.5,Pyraloidea sp.9,Robust yellow winged fly,Sarothroceras sp.1,Scopula sp.3,Scopula sp.5,Sessidae sp.1,Small orange acalyptratae,Spilomelinae sp.10,Spilomelinae sp.11,Spilomelinae sp.4,Syllepte sp.1,Syrphidae sp.4,Syrphidae sp.5,Tachinidae sp.2,Tagiades flesus,Temnora sp.1,Tephritoidea sp.9,Thermoniphas alberici,Thrinchostoma sp.1,Tolna sp.3,Unidentified micro-moth sp.1,Unidentified micro-moth sp.3,Unidentified micro-moth sp.4,Unidentified micro-moth sp.6,Xanthopan morganii,Xylocopa sp.2,Yellow belly megachilid,Zizula hylax
DRYSTA,,,,,,,,,,,,,,,,,,,8.91E-05,,,0.000311848,0.000267248,,,0.000178198,4.45E-05,,,,,,0.000267296,,,,0.000712691,,,,,,,,,,,,0.000133648,,,4.45E-05,4.45E-05,,,,,,8.91E-05,0.000668044,4.45E-05,,0.000400796,,,,,,,0.000133648,,,,,0.000222698,,,,,,,,,0.000311848,0.0002226,0.0001336,,,,,,,,,,,,,,,0.0001782,,0.000356247,,,,,,,0.000267248,8.91E-05,0.000222747,,,4.45E-05,,8.9E-05,,4.45E-05,,,,,,,,,,,0.000534396,0.000133648,0.0001336,,,,,
GLOLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000138889,,,,
HECSTA,,,,,4.11E-05,,,,,,,,,,,,,,,8.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000945368,,,,,,,,,,,,,,,,,,,
HEICRI,,,,,,,,,,,,,,,,,,,,,,,,9.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31E-05,,,,,,,,,,,,,,,,,,,,,,,,9.31E-05,9.31E-05,0.0005586,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001862,,,,,,,,,,,,
IMPMAC,,,,,,0.00095193,,0.000158655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00031731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004600995,,,,,,,,,
IXOGUI,,2.919E-05,,,,,,,,,,,,,,,,,,,,,,,7.29E-06,,,,2.19E-05,,,,,,,,,,,,,,,,,,,,,,,,,,2.19E-05,,,,,,,,,,,,,,,,,,,,,,,7.29E-05,,,,,,,,,,,,,2.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001384,4.37E-05,4.37E-05,,7.29E-06,,,5.1E-05,,,,,,,,,,,,
LACFER,,,,,,,,,,,,,,,,0.0008637,,,,,,,,,,,,,,1.96E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008246,,,,,,,,0.0001178,,,,,,,,,,,,,,,,,,,,,,,,,,5.89E-05,,,,,,,,,3.93E-05,,
MARINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011584058,,,,,,,,,
MARMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000411777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASACU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002860648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELSCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00026824,,,,,,,,,,,,,,,,,,,,,,,,,0.00026824,,,,,,,,,,,,,,,,,,,,,,,,,0.00053648,,,,,,,,,,0.00026824
ONCDEN,,,,,,,,,0.004250156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001076,
ONCMAN,,,,,,,,,0.050666728,,,,0.000533334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001221,,,,,,,,,,,,4.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAVNEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45E-06,,,,,,3.38E-05,,,,,,,,,,,,,,,,,,,,,,,4.22E-05,,,,,,,,,,,0.000557415,,,,,,2.53E-05,,,,,,,,,,,,,,,,,,,,,,,1.69E-05,0.0001182,,,,,,,,,,,,,,,
